Provincia,Distrito,Posto,Localidade,Povoado,Cod__Escola,NomeEsco_1,ZIP,Agua,TipoFonte,QualiAgua,Energia,TipoEnergi,Latrina,TotalLatri,Estado_de_Conservação3,Urinois,TotalUrino,UrinoisFun,Estado_de_Conservação4,CasaBanho,TotalCB,CBFunci,Longitude,Latitude
Inhambane,Jangamo,Jangamo,Massavana,Massavana,30959,Escola Secundária Massavana,Cumbana,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,3,Bom,Sim,3,Sim,Bom,Não,0,Nenhuma,35.48047222,-24.03702778
Inhambane,Jangamo,Cumbana,Bambela,Nhancoja,30960,Escola Secundária Nhancoja,Cumbana,Sim,Cisterna,Não Potável,Não,Nenhum,Sim,6,Bom,Sim,6,Sim,Bom,Não,0,Nenhuma,35.12911111,-24.29905556
Inhambane,Mabote,Zinave ,Mussengue,Mussengue,30952,"Escola Secundária ""25 de Junho""  de Mussengue",ESG - Mabote ,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Bom,Não,0,Nenhuma,34.16785,-21.90555556
Inhambane,Massinga,Chicomo,Malamba,Mucuacua,30772,Escola Secundária de Muvamba,Quême,Sim,Furo com bomba,Potável,Sim,Painel Solar,Sim,3,Bom,Sim,5,Sim,Bom,Não,0,Nenhuma,35.30094444,-22.8745
Inhambane,Massinga,Massinga,Rovene,Lionzuane,30945,Escola Secundária  28 de Maio  de Lionzuane,Quême,Sim,Cisterna,Não Potável,Sim,Painel Solar,Sim,3,Bom,Sim,4,Sim,Bom,Não,0,Nenhuma,35.17633333,-23.21677778
Inhambane,Massinga,Massinga,Rovene,Malova,30946,Escola Secundária Maria da Luz Gebuza de Mupaculane,Quême,Sim,Furo com bomba,Potável,Sim,Painel Solar,Sim,2,Bom,Sim,2,Sim,Bom,Não,0,Nenhuma,35.3725,-23.42377778
Inhambane,Massinga,Massinga,Rovene,Vila Sede,30977,Escola Secundária 25 de Junho de Massinga,Quême,Não,Nenhuma Fonte,Potável,Sim,Rede Pública,Sim,2,Bom,Sim,2,Sim,Bom,Não,0,Nenhuma,35.37772222,-23.32705556
Inhambane,Massinga,Massinga,Guma,Tevele,30978,Escola Secundária de Tevele,Quême,Não,Nenhuma Fonte,Potável,Não,Nenhum,Sim,6,Bom,Sim,6,Sim,Bom,Não,0,Nenhuma,35.44158333,-23.08641667
Inhambane,Massinga,Massinga,Lionzuane,Vila Sede,30997,Escola Secundária de Mudauca,Quême,Não,Nenhuma Fonte,Potável,Não,Nenhum,Sim,1,Bom,Sim,2,Sim,Bom,Não,0,Nenhuma,35.35266667,-23.30575
Inhambane,Massinga,Massinga,Rovene,Maguezane,30998,Escola Secundária de Malovecua,Quême,Não,Nenhuma Fonte,Potável,Não,Nenhum,Sim,1,Bom,Sim,2,Sim,Bom,Não,0,Nenhuma,35.39144444,-23.28863889
Inhambane,Massinga,Chicomo,Chicomo sede,Chicomo,31019,Escola Secundária 7 de Setembro de Chicomo,Massinga,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Bom,Não,0,Nenhuma,35.02041667,-22.77038889
Inhambane,Cidade de Maxixe,Cidade da Maxixe,Cidade da Maxixe,Cidade da Maxixe,30762,Escola Secundária de Chambone,29 de Setembro,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,3,Bom,Não,0,Não,Nenhum,Não,0,Nenhuma,35.33053889,-23.87930278
Inhambane,Cidade de Maxixe,Cidade da Maxixe,Cidade da Maxixe,Cidade da Maxixe,30850,Escola Secundária Tomás Nduda,29 de Setembro,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,2,Bom,Sim,2,Sim,Razoável,Não,0,Nenhuma,35.289,-23.87930278
Inhambane,Cidade de Maxixe,Cidade da Maxixe,Cidade da Maxixe,Cidade da Maxixe,30908,Escola Secundária 18  de  Novembro,29 de Setembro,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,3,Bom,Não,0,Não,Nenhum,Não,0,Nenhuma,35.34080556,-23.8735
Inhambane,Cidade de Maxixe,Cidade da Maxixe,Cidade da Maxixe,Cidade da Maxixe,30926,Escola Secundária Acordos de Lusaka - Maxixe,29 de Setembro,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,1,Bom,Sim,1,Sim,Razoável,Não,0,Nenhuma,35.34555556,-23.85708333
Inhambane,Cidade de Maxixe,Cidade da Maxixe,Cidade da Maxixe,Cidade da Maxixe,31002,Escola Secundária Marcelino Dos Santos,29 de Setembro,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,3,Bom,Não,0,Não,Nenhum,Não,0,Nenhuma,35.33266667,-23.80608333
Inhambane,Morrumbene,Morrumbene,Morrumbene sede,Cimento,30631,Escola Secundária de Morrumbene,ESG1- Morrumbene,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,2,Bom,Sim,4,Sim,Bom,Não,0,Nenhuma,35.34255556,-23.65991667
Inhambane,Morrumbene,Mocodoene,Sitila,Bungue,30901,Escola Secundária 19 de Outubro de Sitila,ESG1- Morrumbene,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,3,Bom,Sim,3,Sim,Bom,Sim,3,Sim,35.05836111,-23.16358333
Inhambane,Morrumbene,Mocodoene,Gotite,Bomne,30916,Escola Secundária Samora Machel,ESG1- Morrumbene,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,4,Bom,Sim,4,Sim,Bom,Sim,2,Sim,35.21416667,-23.42136111
Inhambane,Morrumbene,Morrumbene,Malaia,Bié,30961,Escola Secundária Filipe Jacinto Nyusi de Malaia,ESG1- Morrumbene,Sim,Cisterna,Não Potável,Não,Nenhum,Sim,2,Bom,Sim,4,Sim,Bom,Sim,2,Sim,35.36841667,-23.51939167
Inhambane,Panda,Panda Sede,Panda Sede,Inhassune,31000,Escola Secundária 1º de Maio de Inhassune,Panda Sede,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,1,Bom,Sim,1,Sim,Bom,Não,0,Nenhuma,34.85194444,-24.23952778
Inhambane,Vilankulo,Vilankulo,Vilankulo,Vilankulo,30480,Escola Secundária de Vilankulo,ESG1- Vilankulo,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,6,Bom,Sim,4,Sim,Bom,Não,0,Nenhuma,35.32022222,-21.99711111
Inhambane,Vilankulo,Mapinhane,Belane,Belane,30906,Escola Secundária Josina Machel,ESG1- Vilankulo,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,4,Bom,Sim,2,Sim,Bom,Não,0,Nenhuma,35.24938889,-22.66602778
Inhambane,Vilankulo,Mapinhane,Belane,Machaniça,30914,Escola Secundária de Machaniça,ESG1- Vilankulo,Sim,Cisterna,Não Potável,Sim,Painel Solar,Sim,3,Bom,Sim,2,Sim,Bom,Não,0,Nenhuma,35.12330556,-22.62516667
Inhambane,Vilankulo,Vilankulo,Vilankulo,Vilankulo,31018,Escola Secundária Graça Machel ,ESG1- Vilankulo,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Bom,Não,0,Nenhuma,35.27047222,-21.98463889
Inhambane,Zavala,Zandamela ,Zandamela ,Mavila ,30541,Escola Secundária de Mavila,ESG2- 25 de Novembro,Sim,Cisterna,Potável,Sim,Rede Pública,Sim,6,Bom,Sim,6,Sim,Bom,Não,0,Nenhuma,34.56766667,-24.63241667
Inhambane,Zavala,Quissico,Quissico ,Nhangave ,30542,Escola Secundária de Quissico,ESG2- 25 de Novembro,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,7,Bom,Sim,1,Sim,Bom,Não,0,Nenhuma,34.73236111,-24.71805556
Inhambane,Zavala,Zandamela ,Zandamela ,Chitondo - Sul,30888,Escola Secundária Domingos Fondo,ESG2- 25 de Novembro,Sim,Cisterna,Potável,Sim,Painel Solar,Sim,8,Bom,Sim,8,Sim,Bom,Não,0,Nenhuma,34.46594444,-24.79475
Inhambane,Zavala,Quissico,Quissico ,Dombe ,30979,Escola Secundária Graça Machel de Quissico,ESG2- 25 de Novembro,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,3,Sim,Bom,Não,0,Nenhuma,34.76002778,-24.70613889
Inhambane,Zavala,Zandamela ,Zandamela ,Mahamba,30980,Escola Secundária Eduardo Mondlane - Mahamba,ESG2- 25 de Novembro,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,6,Bom,Sim,6,Sim,Bom,Não,0,Nenhuma,34.40672222,-24.74994444
Inhambane,Zavala,Quissico,Muane ,Chinhangue ,30981,Escola Secundária  Comunitária de Giletene,ESG2- 25 de Novembro,Sim,Furo com bomba,Potável,Não,Nenhum,Sim,6,Bom,Sim,6,Sim,Bom,Não,0,Nenhuma,34.86263889,-24.61077778
